"ts_code","trade_date","close","turnover_rate","turnover_rate_f","volume_ratio","pe","pe_ttm","pb","ps","ps_ttm","dv_ratio","dv_ttm","total_share","float_share","free_share","total_mv","circ_mv"
"600596.SH","20260309","12.72","2.2272","3.1869","0.96","333.9409","","1.3801","1.1706","1.181","0.7862","0.7862","134959.7049","134959.7049","94316.7142","1716687.4463","1716687.4463"
"002860.SZ","20260309","13.45","2.6887","4.2906","1.07","33.6697","27.5793","2.1302","2.3292","2.0999","0.7355","0.7355","35971.2516","34964.2607","21910.4534","483813.334","470269.3064"
"000751.SZ","20260309","6.54","6.9309","9.0708","0.52","496.437","154.3504","2.9313","0.6771","0.5933","","","161563.0595","140986.8779","107726.6753","1056622.4091","922054.1815"
"002580.SZ","20260309","13.4","2.4715","3.2163","1.01","29.6304","30.5459","2.6135","2.0171","1.8086","0.2985","0.2985","45386.8993","45233.88","34759.9802","608184.4506","606133.992"
"605258.SH","20260309","34.68","2.6268","6.4094","0.71","42.8197","43.9789","2.5563","3.4421","3.1661","2.0185","2.0185","8800","8800","3606.6","305184","305184"
"000028.SZ","20260309","25.52","0.9586","2.7557","1.06","22.1069","26.5949","0.7707","0.191","0.1945","1.4342","1.4342","55656.5077","47805.3712","16629.1269","1420354.0765","1219993.073"
"301004.SZ","20260309","52.22","0.7847","2.6761","0.89","10.3883","13.3704","4.733","2.6844","2.8405","5.9886","5.9886","14580.6238","13588.4001","3984.1813","761400.1748","709586.2532"
"688268.SH","20260309","72.36","7.8169","17.1006","1.43","46.9906","60.3783","4.7205","6.2243","6.1189","0.8265","0.8265","11999.6377","11991.5377","5481.4736","868293.784","867707.668"
"600742.SH","20260309","10.41","1.952","3.4206","0.79","15.2048","15.4625","0.9245","0.3939","0.3914","6.0519","6.4361","74305.788","74305.788","42402.8066","773523.2531","773523.2531"
"300642.SZ","20260309","17.52","2.1247","2.4905","0.81","82.4605","178.9132","1.936","6.5199","7.6251","0.8484","0.8484","16254.4041","13770.6966","11748.2741","284777.1598","241262.6044"
"688591.SH","20260309","38.76","3.0129","3.0139","0.99","95.793","72.8277","3.7836","11.0555","9.1886","0.5196","0.5196","24074.3536","16843.7356","16838.1106","933121.9455","652863.1919"
"600399.SH","20260309","7.23","5.0322","7.2934","0.7","127.6672","","2.4736","1.6806","1.827","0.2477","0.2477","197210","197210","136069.5484","1425828.3","1425828.3"
"600015.SH","20260309","6.83","0.4156","1.2544","0.77","3.9276","3.9963","0.3541","1.1189","1.1826","5.9297","5.9297","1591492.8468","1538722.3983","509783.4834","10869896.1436","10509473.9804"
"920274.BJ","20260309","24.56","1.2404","4.0338","0.77","538.0614","108.3601","4.0695","3.1235","3.2209","0.4025","0.4025","8133.3334","8133.3334","2500.9484","199754.6683","199754.6683"
"688289.SH","20260309","18.41","0.7605","1.4483","0.8","38.7035","53.8308","1.4985","7.3156","6.4715","2.8907","2.8907","57938.8006","57938.8006","30423.4372","1066653.319","1066653.319"
"300823.SZ","20260309","17.62","3.2846","4.3994","0.88","51.5069","71.8162","2.4537","5.1152","5.627","1.8502","1.8502","13098.2727","8478.9426","6330.3607","230791.565","149398.9686"
"600586.SH","20260309","6.49","6.0331","8.9099","1.34","152.1014","","1.6744","1.4257","1.8961","0.2279","0.2279","141733.77","141733.77","95970.2422","919852.1673","919852.1673"
"301592.SZ","20260309","121.78","5.3683","5.3683","0.68","87.487","134.9018","9.7233","15.897","16.8214","0.5748","0.5748","7000","2335.8424","2335.8424","852460","284458.8875"
"300545.SZ","20260309","33.71","8.6003","10.01","0.94","25.7275","43.2433","2.9276","4.4792","4.7155","0.576","0.576","18546.1376","11955.8935","10272.1073","625190.2985","403033.1699"
"920593.BJ","20260309","29.52","1.2946","2.509","0.74","145.1611","194.4467","7.8016","25.1111","20.511","0.4787","0.4787","19030.4392","16161.0277","8338.8656","561778.5652","477073.5377"
"603980.SH","20260309","7.61","7.1765","11.0755","0.74","30.242","91.0678","1.3264","3.1438","3.3542","0.9198","0.9198","67683.336","67683.336","43856.4165","515070.187","515070.187"
"002342.SZ","20260309","14.18","7.7931","10.7752","0.65","","","5.5919","6.1478","5.6309","","","96000","95469","69047","1361280","1353750.42"
"000830.SZ","20260309","20.17","4.61","9.0268","1.63","18.9333","26.003","2.0159","1.2905","1.276","1.7406","1.7406","190431.9011","190416.8929","97246.2232","3841011.4452","3840708.7298"
"003030.SZ","20260309","20.79","2.4397","3.6909","0.85","","135.933","2.5468","1.5586","1.3506","0.718","0.718","12478","7938.585","5247.5506","259417.62","165043.1822"
"000156.SZ","20260309","8","1.1323","2.1599","0.83","27.7593","27.9005","0.9913","1.5779","1.5681","2.25","2.25","185293.2442","169987.5877","89117.3393","1482345.9536","1359900.7016"
"688657.SH","20260309","47.63","2.358","2.7492","0.64","49.5316","62.1964","2.2057","10.7958","9.4174","1.4584","1.4584","6551.4288","4104.4542","3520.4542","312044.5537","195495.1535"
"300098.SZ","20260309","5.84","3.2581","3.4338","0.93","","","3.737","7.1636","5.6806","","","173778.2275","154174.3627","146286.5248","1014864.8486","900378.2782"
"002181.SZ","20260309","10.46","4.9704","15.2385","1.63","404.8974","65.8921","2.8515","20.352","20.053","0.6501","0.6501","116105.8174","113453.7104","37005.3722","1214466.85","1186725.8108"
"000927.SZ","20260309","2.94","1.4298","4.5629","0.97","38.7464","37.5008","1.8493","0.4667","0.5186","0.9184","0.9184","605035.3641","605035.0581","189584.6918","1778803.9705","1778803.0708"
"603657.SH","20260309","28.22","1.1675","3.5848","0.77","266.5164","264.3663","4.0462","1.7975","1.5237","0.1233","0.1233","13519.005","13519.005","4402.695","381506.3211","381506.3211"
"603612.SH","20260309","31.19","4.5723","6.1623","1.21","57.0306","21.8949","2.7689","1.1299","0.9363","0.6696","0.6696","49810.4459","49810.4459","36957.8425","1553587.8076","1553587.8076"
"603779.SH","20260309","6.7","1.5061","2.2572","0.71","216.8238","","4.0674","4.9984","5.6736","0.1343","0.1343","33208.2754","33208.2754","22158.256","222495.4452","222495.4452"
"300576.SZ","20260309","37.3","3.8066","4.4698","0.89","111.6895","117.7865","8.0743","14.3942","13.0682","0.2007","0.2007","36636.7572","23265.4109","19813.5872","1366551.0436","867799.8266"
"600697.SH","20260309","13.04","2.8052","3.7468","0.86","","","0.9041","0.2959","0.3006","0.7669","0.7669","15908.8075","15537.6015","11633.0019","207450.8498","202610.3236"
"300179.SZ","20260309","24.8","12.9306","16.5981","0.71","102.4246","144.7843","10.1025","22.9451","22.5795","0.8022","0.8022","48572.393","37398.1878","29134.5912","1204595.3464","927475.0574"
"301207.SZ","20260309","19.42","0.9114","3.8649","0.76","56.7936","165.6438","2.1949","10.3492","11.9536","4.0782","4.0782","60102.75","60064.815","14164.815","1167195.405","1166458.7073"
"002847.SZ","20260309","60.99","0.89","2.2011","0.61","25.9906","22.1318","8.2135","3.1359","2.8334","2.2959","2.2959","27270.9679","24384.0712","9860.2779","1663256.3322","1487184.5025"
"920504.BJ","20260309","24.61","1.8388","2.2698","0.85","67.4508","71.5018","5.1666","8.7297","8.9009","0.2032","0.2032","4333.31","1709.1905","1384.6905","106642.7591","42063.1782"
"301536.SZ","20260309","79.76","6.3583","6.8113","1.02","131.2574","128.2808","10.7661","14.2917","12.4256","0.2504","0.2504","42171.5232","18719.3262","17474.5304","3363600.6904","1493053.4577"
"300977.SZ","20260309","20.96","10.6425","25.9962","3.7","","","2.3018","6.791","6.947","","","15222.6727","9480.2083","3881.0832","319067.2198","198705.166"
"300185.SZ","20260309","3.3","5.3564","6.5261","1.08","310.8224","182.3747","1.9443","2.0898","1.9456","0.3306","0.3306","389714.8656","370697.8234","304256.7311","1286059.0565","1223302.8172"
"002746.SZ","20260309","6.44","3.1154","4.8033","1.13","26.8832","19.2893","1.2165","1.0475","0.9856","5.4348","3.882","86053.8727","70967.6227","46028.8634","554186.9402","457031.4902"
"301003.SZ","20260309","45.76","1.5609","2.9582","0.44","31.5101","36.4986","4.0028","6.8936","7.5819","3.9336","3.9336","9713.3323","7514.0354","3964.7264","444482.086","343842.2599"
"600066.SH","20260309","29.44","0.8484","1.4541","1.07","15.8346","13.0967","4.8587","1.7513","1.6497","5.0951","5.0951","221393.9223","221393.9223","129175.5584","6517837.0725","6517837.0725"
"301068.SZ","20260309","28.53","1.0364","1.574","1.15","46.8972","198.8459","5.0997","4.2582","3.1851","0.8035","0.8035","14131.5742","10077.7825","6635.7639","403173.8119","287519.1347"
"300870.SZ","20260309","278.64","8.014","17.1594","1.12","113.3642","91.2243","11.927","8","6.7199","0.3593","0.3593","10903.0658","10901.8658","5091.5381","3038030.2545","3037695.8865"
"920082.BJ","20260309","17.75","11.5089","11.5573","0.7","38.9145","41.5495","4.8447","3.4128","3.5177","1.8028","1.8028","14535.5","3956.7013","3940.1316","258005.125","70231.4481"
"600782.SH","20260309","4.06","2.1563","4.0459","0.8","394.3521","13.3044","0.4887","0.3092","0.3415","0.2462","0.2462","318402.2149","314565.2149","167653.3152","1292712.9925","1277134.7725"
"301018.SZ","20260309","101.01","8.2066","15.6273","1.21","232.551","218.8729","10.1285","8.9099","7.577","0.1584","0.1584","26605.2564","19899.9414","10450.3214","2687396.949","2010093.0808"
"300259.SZ","20260309","5.01","2.9859","5.3725","0.94","30.5864","24.8759","1.9789","6.5842","5.774","0.9697","1.9395","116980.1516","116953.3231","64998.6077","586070.5595","585936.1487"
"603676.SH","20260309","10.8","0.3866","1.6285","0.85","19.0915","21.1624","3.2126","3.6145","4.0227","3.0081","3.0081","43516.15","43516.15","10330.078","469974.42","469974.42"
"605303.SH","20260309","17.26","1.5742","3.7373","0.74","","","3.0283","3.8541","4.9795","","","16123.7408","16123.7408","6791.5808","278295.7662","278295.7662"
"301413.SZ","20260309","126.89","4.5113","4.5113","0.79","151.0962","133.729","9.9812","13.2809","10.9482","0.2364","0.2364","9840.1985","5874.9894","5874.9894","1248622.7877","745477.405"
"688539.SH","20260309","40.74","2.995","3.781","0.94","136.1089","124.4712","4.3177","21.9058","18.5632","0.4854","0.4854","18592","10472","8295","757438.08","426629.28"
"688479.SH","20260309","33.5","6.8189","8.6676","0.84","59.9031","113.3042","2.5812","8.128","9.457","1.4744","1.4744","14431.74","6231.74","4902.54","483463.29","208763.29"
"000552.SZ","20260309","2.79","7.2032","12.6887","1.93","12.2962","","0.9135","1.5547","1.8848","2.4373","2.4373","535181.0636","372580.7402","211510.9373","1493155.1674","1039500.2652"
"688719.SH","20260309","41.29","2.3451","2.3451","0.75","65.1531","","2.8147","4.9001","5.2884","0.3931","0.3931","11538.5418","8972.2298","8972.2298","476426.3909","370463.3684"
"002709.SZ","20260309","43.36","5.7603","6.8017","1.81","182.2363","155.7456","5.3694","7.0449","6.0829","0.2161","0.3309","203389.1587","150444.7947","127409.642","8818953.9212","6523286.2982"
"920857.BJ","20260309","26.96","0.6198","2.0682","0.6","122.1652","","5.5546","4.2665","5.059","0.3709","0.3709","7400.7152","7400.7152","2217.8286","199523.2818","199523.2818"
"000068.SZ","20260309","3.49","1.1179","1.9628","0.7","267.9283","","5.7787","3.4792","3.5505","","","100667.1464","100667.1464","57333.4369","351328.3409","351328.3409"
"301135.SZ","20260309","29.53","3.0032","4.144","0.75","78.7555","75.4493","2.4085","2.3849","2.1575","0.9803","0.9803","10195.2","7646.075","5541.25","301064.256","225788.5948"
"603026.SH","20260309","64.66","3.9581","5.8204","1.2","916.3736","","3.1124","2.7127","2.4989","","","23270.1014","23270.1014","15824.5299","1504644.7565","1504644.7565"
"002079.SZ","20260309","10.45","3.9695","5.1642","0.84","114.9513","88.422","2.7454","1.5025","1.9824","0.1817","0.1817","81060.9616","80984.8778","62250.4523","847087.0487","846291.973"
"688335.SH","20260309","37.54","1.4831","2.7803","0.66","","503.1935","4.8417","29.7343","16.3059","0.5268","0.5268","14803.4592","14803.4592","7896.4229","555721.8584","555721.8584"
"002558.SZ","20260309","34.35","3.2342","5.3256","1.62","46.6409","37.5278","4.3807","22.7377","16.3175","0.8249","0.8249","193475.0611","193475.0611","117497.082","6645868.3488","6645868.3488"
"603205.SH","20260309","26.84","1.2911","1.2911","0.81","34.8285","40.583","2.8712","4.0038","4.237","1.006","1.006","15600","4134","4134","418704","110956.56"
"600458.SH","20260309","13.77","1.6203","2.9283","1.22","28.8101","22.5513","1.673","0.6391","0.5842","1.8981","1.8981","93075.352","86218.6875","47707.5124","1281647.597","1187231.3269"
"002584.SZ","20260309","8.53","3.6942","3.8195","0.91","80.8098","","2.2263","0.6386","0.6982","","","58521.6422","46842.6527","45305.9549","499189.608","399567.8275"
"002318.SZ","20260309","35.01","1.1359","1.8188","0.92","22.9544","20.041","4.1949","3.1333","2.53","2.6897","2.6897","97717.072","95495.7728","59638.0444","3421074.6907","3343307.0057"
"000823.SZ","20260309","14.84","4.6463","6.6845","1.05","36.9335","32.3147","1.6916","1.3844","1.282","1.3477","1.3477","53700.1503","53697.8759","37325.1459","796910.2305","796876.4784"
"920429.BJ","20260309","13.85","0.8416","1.6523","0.76","19.3063","44.2229","2.021","1.658","1.4883","1.7852","1.7852","12450","11350.0391","5781.0689","172432.5","157198.0415"
"002075.SZ","20260309","5.45","3.0336","4.1441","1.32","73.54","41.4718","1.8322","0.8294","0.8609","0.9174","0.9174","219382.5445","219382.192","160595.0194","1195634.8675","1195632.9464"
"300669.SZ","20260309","37.5","2.5681","4.403","1.25","260.8113","442.5732","8.2678","22.3315","22.3693","0.2653","0.2653","19270.5526","18249.9937","10644.4631","722645.7225","684374.7638"
"301265.SZ","20260309","20.34","22.1867","28.78","2.51","130.4407","100.8742","2.9134","9.6113","7.0172","0.1958","0.1958","30297.3182","16844.8215","12985.7573","616247.4522","342623.6693"
"600332.SH","20260309","25.17","0.9049","1.8886","0.98","14.4317","13.7017","1.0795","0.5457","0.5278","3.1784","3.1784","162579.0949","140589.0949","67358.5846","4092115.8186","3538627.5186"
"688485.SH","20260309","25.8","6.7164","6.7164","1.45","347.6984","","3.0888","10.7987","16.7577","0.0865","0.0865","15029.2062","8875.7978","8875.7978","387753.52","228995.5832"
"600234.SH","20260309","13.59","0.7103","1.3415","0.77","89.2429","59.8662","7.1352","9.5254","7.4366","","","26252.0973","26252.0973","13899.8888","356766.0023","356766.0023"
"603881.SH","20260309","38.03","10.3992","18.2367","1.45","206.671","185.9035","8.3188","15.8789","15.3581","0.1573","0.1573","71837.6999","71837.6999","40964.5729","2731987.7272","2731987.7272"
"002025.SZ","20260309","50.94","2.8556","4.8504","0.71","66.8392","285.1714","3.5639","4.6169","4.3128","0.4515","0.4515","45542.5988","45387.67","26720.6945","2319939.9829","2312047.9098"
"002915.SZ","20260309","21.72","2.3222","3.3979","1.06","","","4.902","5.1849","4.7434","","","33527.333","28807.4875","19687.0021","728213.6728","625698.6285"
"000725.SZ","20260309","4.31","2.3191","2.6705","0.91","29.9932","24.1363","1.2069","0.8048","0.7632","1.1719","1.1719","3704432.8064","3634166.3692","3156019.7505","15966105.3956","15663257.0513"
"600113.SH","20260309","57.88","1.1202","2.4577","1.33","169.2149","169.2149","9.5488","31.5159","31.5159","0.2074","0.2074","42117.666","41143.116","18753.2086","2437770.5081","2381363.5541"
"000543.SZ","20260309","8.69","2.3056","5.4448","0.74","9.546","8.253","1.1467","0.6546","0.6717","3.6709","3.6709","226686.3331","226686.3331","95991.878","1969904.2346","1969904.2346"
"603089.SH","20260309","13.18","1.2909","3.2187","0.88","44.2695","20.1975","2.1147","1.3737","1.1567","0.7171","0.7171","24003.3268","24003.3268","9626.8471","316363.8472","316363.8472"
"601860.SH","20260309","2.77","1.1405","1.4878","0.8","6.2463","6.8693","0.5092","2.2723","2.3719","3.6101","3.6101","366100.4492","355158.8176","272256.3571","1014098.2443","983789.9248"
"600131.SH","20260309","22.43","6.4671","15.5515","2.12","39.3849","39.633","4.3576","3.6744","2.5291","0.7643","0.9872","119835.5044","119590.5149","49731.7834","2687910.3637","2682415.2492"
"920263.BJ","20260309","12.25","2.8067","4.4845","0.87","31.9995","90.7583","2.9794","5.1484","5.4461","1.1665","","14124.2896","10259.3737","6421.0753","173022.5476","125677.3278"
"002799.SZ","20260309","9.17","1.805","3.3774","0.65","","","2.3103","2.1015","3.2319","","","32004","32003.58","17104.006","293476.68","293472.8286"
"603390.SH","20260309","12.52","1.5026","4.0899","1","171.9263","69.0191","2.7247","6.6139","4.7346","0.7189","0.7189","35165.1984","35051.3953","12877.2673","440268.284","438843.4692"
"688612.SH","20260309","27.81","1.4464","1.6223","0.98","29.1307","20.9244","3.2149","1.8294","1.8382","1.289","1.289","41918.8098","25255.2631","22517.3322","1165762.1005","702348.8668"
"002628.SZ","20260309","5.49","5.3964","6.8004","0.45","","","1.4508","5.1284","5.0986","","","75710.0415","75378.4802","59815.7324","415648.1278","413827.8563"
"301584.SZ","20260309","27.85","3.398","3.398","0.8","51.3898","39.1558","5.6484","0.6546","0.608","","","42128.8509","5042.3853","5042.3853","1173288.4976","140430.4306"
"301132.SZ","20260309","39.5","7.5835","14.9926","0.87","54.925","42.74","3.2213","4.6141","3.7036","1.0608","1.0608","14808.6249","9473.4441","4791.8245","584940.6836","374201.042"
"301314.SZ","20260309","47.78","8.9698","8.9698","0.84","147.4937","176.8863","2.5222","15.567","15.2435","0.4186","0.4186","5525","1625","1625","263984.5","77642.5"
"688662.SH","20260309","62.15","9.5531","17.0813","1.09","123.2962","137.4917","7.5061","10.6358","10.2531","0.563","0.563","8824","8824","4935.024","548411.6","548411.6"
"002576.SZ","20260309","19.07","3.9639","5.5829","0.69","47.3471","37.1614","2.4104","1.8794","1.7223","0.4195","0.4195","16510","16202.7571","11504.0077","314845.7","308986.5779"
"600665.SH","20260309","3.5","1.4636","3.445","1.06","","","1.1387","0.2815","0.2743","","","86412.2521","86412.2521","36712.1583","302442.8824","302442.8824"
"300629.SZ","20260309","24.09","5.5036","6.1732","0.55","50.3498","322.5855","3.5598","12.6012","17.4713","0.4129","0.4129","25142.3424","21683.4037","19331.2204","605679.0284","522353.1951"
"920690.BJ","20260309","28.8","2.0005","3.757","1.04","30.5455","25.9441","3.1577","6.6809","4.8853","1.3889","1.3889","6630","4309.908","2294.87","190944","124125.3504"
"600568.SH","20260309","3.02","2.2474","3.664","1.68","","","3.5066","11.5432","10.5473","","","199286.9681","166906.7279","102374.4773","601846.6437","504058.3183"
"002601.SZ","20260309","19.9","3.1753","4.1801","1.66","21.879","37.0855","2.0433","1.7245","1.8191","2.9997","2.9997","238424.8056","198760.2786","150982.099","4744653.6314","3955329.5441"
"300382.SZ","20260309","12.54","1.6869","2.5614","0.7","","","3.5337","5.3781","3.9444","","","64839.9994","64833.8222","42698.1442","813093.5925","813016.1304"
"600774.SH","20260309","9.7","2.2543","5.4125","0.83","","","1.7138","2.4348","2.764","","","29503.2402","29484.2131","12280.2818","286181.4299","285996.8671"
"301362.SZ","20260309","108.88","21.5473","21.5473","0.67","49.423","58.8537","4.5734","6.945","6.9471","1.7158","1.7158","10467","2967","2967","1139646.96","323046.96"
"600318.SH","20260309","10.02","8.6486","11.3201","0.78","164.859","137.1501","4.6998","16.3695","15.6185","0.1996","0.1996","51272.7632","51272.7632","39172.7725","513753.0873","513753.0873"
"603318.SH","20260309","9.3","30.8894","54.0013","1.25","50.2538","","2.6998","1.9917","2.0461","0.6052","0.6052","55467.3218","45907.0924","26259.4238","515846.0927","426935.9593"
"300765.SZ","20260309","30.86","0.6384","2.5194","0.88","806.7878","","11.754","21.8835","20.6916","0.0643","0.0643","140459.2944","140459.2944","35594.7438","4334573.8252","4334573.8252"
"301010.SZ","20260309","21.15","1.7529","4.8691","0.75","76.2693","105.6174","2.7571","2.0442","2.248","0.9456","0.9456","10800","10800","3888","228420","228420"
"688205.SH","20260309","158.93","6.8247","10.3665","0.87","250.4232","343.8124","10.8404","29.9015","26.9399","0.2071","0.2071","15828.5329","15828.5329","10420.6883","2515628.7338","2515628.7338"
"300375.SZ","20260309","5.5","3.8338","4.3171","0.79","53.8125","88.8936","1.8245","1.6982","1.5271","0.6508","0.6508","75973.8818","50953.7225","45249.2539","417856.3499","280245.4738"
"002316.SZ","20260309","5.81","5.6909","6.1219","1.02","229.4233","461.6374","29.8527","3.7602","3.6524","","","39312","34074.75","31675.6694","228402.72","197974.2975"
"603305.SH","20260309","15.45","2.7785","5.4121","1.05","42.8958","45.4195","1.9676","4.0501","4.0951","2.0277","2.0277","115570.8556","115570.8556","59332.1485","1785569.719","1785569.719"
"001325.SZ","20260309","53.88","17.6416","17.6416","1.71","27.3126","26.096","2.4085","3.1312","2.9592","","","7840","1960","1960","422419.2","105604.8"
"001230.SZ","20260309","26.93","4.6713","6.8022","1.02","25.6952","23.8815","1.886","2.3489","2.3054","1.5814","1.5814","13422.6057","7855.727","5394.7674","361470.7715","211554.7281"
"600737.SH","20260309","16.16","2.1239","4.3107","1.27","20.1733","25.297","3.0649","1.0636","1.1487","2.5371","2.5371","213884.8228","213884.8228","105381.5155","3456378.7364","3456378.7364"
"688390.SH","20260309","101","6.6452","9.9189","1.03","","180.4244","8.9548","3.6435","2.7627","","","24306.2217","24299.6473","16279.6213","2454928.3917","2454264.3773"
"300394.SZ","20260309","306.96","4.8845","8.8226","0.98","177.6194","130.2289","48.9203","73.3878","49.9718","0.2792","0.2792","77741.5891","77585.2386","42954.07","23863558.1901","23815564.8407"
"920682.BJ","20260309","9.97","5.7234","8.3584","1.31","24.3391","33.9861","2.7964","0.9025","0.8535","1.6717","1.6717","32448","18817.2322","12885.0184","323506.56","187607.805"
"688302.SH","20260309","42.03","1.3152","1.7402","0.89","","","3.9108","11344.6401","201.2995","","","9901.5598","9901.5598","7483.5693","416162.5584","416162.5584"
"300564.SZ","20260309","16.1","2.7911","4.5152","1.01","83.8211","177.7647","2.1511","5.9511","7.9633","3.1056","3.1056","16131.52","11319.175","6997.06","259717.472","182238.7175"
"601009.SH","20260309","11.08","0.3679","0.8415","0.96","6.7894","6.2819","0.7546","2.7249","2.4665","4.4747","4.4747","1236356.7245","1236356.7245","540572.4819","13698832.5075","13698832.5075"
"603300.SH","20260309","7.35","3.8341","5.0106","1.02","24.2418","22.6332","2.2523","2.8348","2.4876","0.3421","0.3421","199450.482","199450.482","152620.0656","1465961.0427","1465961.0427"
"002195.SZ","20260309","10.65","8.7239","9.6813","0.74","1860.3879","349.7436","6.0492","91.2838","93.6222","","","567055.4696","560126.1712","504733.2768","6039140.7512","5965343.7233"
"301295.SZ","20260309","34.35","10.0148","10.0148","2.26","126.8407","165.367","3.6288","5.4694","4.7716","0.6987","0.6987","10080","2940","2940","346248","100989"
"002573.SZ","20260309","4.11","1.8277","3.8412","1.12","","","0.9789","0.6673","0.6523","","","141526.7079","141274.7479","67222.693","581674.7695","580639.2139"
"002374.SZ","20260309","3.48","2.6583","3.2726","0.75","","","4.4818","5.9354","6.5106","","","108520.9283","108520.9283","88148.8104","377652.8305","377652.8305"
"300792.SZ","20260309","39.33","3.9092","6.9989","1.05","122.6277","116.8812","3.1831","7.5408","8.3389","0.2543","0.2543","23694.273","21253.3673","11870.7524","931895.7571","835894.9359"
"688155.SH","20260309","83.96","2.8076","5.9476","1.31","47.5986","30.1741","4.6061","4.3083","3.5454","0.708","0.708","12643.6008","12643.6008","5968.4597","1061556.7232","1061556.7232"
"603332.SH","20260309","13.38","1.4868","3.721","0.84","50.1134","53.4009","2.2684","1.7244","1.8498","1.639","1.639","21634.7184","21634.7184","8644.6218","289472.5322","289472.5322"
"301397.SZ","20260309","29.59","4.02","4.02","1.28","37.5923","39.9525","2.3506","3.7091","3.2787","2.068","2.068","15566.2898","7073.7798","7073.7798","460606.5152","209313.1443"
"002645.SZ","20260309","15.2","3.6677","5.7356","0.87","","","2.3898","1.7108","1.3647","","","62760.036","55892.7551","35741.0387","953952.5472","849569.8775"
"300527.SZ","20260309","8.41","1.4628","3.3101","0.72","989.551","736.1702","2.9379","7.3649","8.296","0.0303","0.0303","101677.0372","101677.0372","44931.8479","855103.8829","855103.8829"
"688716.SH","20260309","36.43","2.7359","2.7367","0.92","112.8416","373.5979","3.7439","15.9976","14.338","0.549","0.549","12168","6992.717","6990.717","443280.24","254744.6803"
"000717.SZ","20260309","2.75","1.4226","3.0243","0.93","","","0.85","0.2138","0.2371","","","242384.559","242356.0965","114004.8075","666557.5373","666479.2654"
"688793.SH","20260309","21.34","1.5143","2.7533","0.96","178.8781","","7.5988","1.6902","2.3786","","","8594.5419","8594.5419","4727.0138","183407.5241","183407.5241"
"300908.SZ","20260309","27.4","0.8116","1.6623","0.83","22.8069","22.2066","2.2726","3.6445","3.6885","2.9197","2.9197","14600","12315.2674","6012.5744","400040","337438.3268"
"601089.SH","20260309","23.59","0.3873","1.4157","0.64","23.1712","24.4527","3.0725","3.2862","3.3116","2.0666","2.0666","48000","48000","13132.2997","1132320","1132320"
"002168.SZ","20260309","4.08","0.6092","0.7435","0.56","","","141.1721","16.2211","9.5701","","","78416.3368","78416.3368","64258.0991","319938.6541","319938.6541"
"300230.SZ","20260309","5.27","2.6425","2.9806","0.77","19.2176","19.1138","1.3153","1.9148","1.801","1.2334","1.2334","81321.3441","62982.2499","55836.815","428563.4834","331916.457"
"000782.SZ","20260309","6.16","3.9187","4.4721","0.84","","","2.46","1.2999","1.597","","","68658.1509","52813.9623","46278.9623","422934.2095","325334.0078"
"300600.SZ","20260309","14.08","2.7596","5.3224","0.78","","","3.3919","14.9263","17.0614","","","29423.448","29423.448","15255.774","414282.1478","414282.1478"
"600428.SH","20260309","7.9","4.2208","9.0618","0.73","14.1625","13.0794","1.3118","1.2918","1.0154","3.5316","3.5316","274392.0395","244528.5583","113896.7274","2167697.1121","1931775.6106"
"300546.SZ","20260309","24.2","3.966","4.3983","1.08","154.9515","122.7609","4.0171","8.1817","7.9234","0.186","0.186","18663.2691","13391.3985","12075.1537","451651.1122","324071.8437"
"600531.SH","20260309","16.39","4.8993","6.6834","0.57","24.5543","22.6864","3.0519","0.5038","0.4387","1.2377","1.2377","120926.2698","120926.2698","88646.2961","1981981.562","1981981.562"
"002498.SZ","20260309","9.96","17.6366","52.7455","2.49","50.5776","55.9396","3.7165","3.5784","3.1657","0.4016","0.4016","332679.6","332679.6","111238.7984","3313488.816","3313488.816"
"000599.SZ","20260309","6.75","3.0911","5.2708","1.04","","","4.1907","1.2719","1.2239","","","81675.8987","81674.5112","47899.2012","551312.3162","551302.9506"
"688796.SH","20260309","77","4.8521","4.8521","1.2","1025.9189","198.6791","15.8219","35.0972","24.9572","","","44689.842","3588.7641","3588.7641","3441117.834","276334.8357"
"688560.SH","20260309","17.05","2.7219","4.3738","0.77","","","1.3254","3.973","4.7696","","","20130.1918","20130.1918","12527.6918","343219.7702","343219.7702"
"002863.SZ","20260309","5.95","1.9922","3.0079","0.75","53.2457","45.169","1.2574","0.728","0.64","0.2857","0.2857","59948.3554","59948.3554","39705.9006","356692.7146","356692.7146"
"688727.SH","20260309","50.22","5.8064","5.8064","0.74","232.821","219.8624","8.9932","41.1813","34.226","","","44931.96","5024.3165","5024.3165","2256483.0312","252321.1746"
"002743.SZ","20260309","5.76","1.8867","2.8277","0.95","48.8014","101.1479","0.7603","0.6368","0.7451","","","43526.8478","43457.0978","28995.4664","250714.6433","250312.8833"
"601700.SH","20260309","6.27","4.1538","8.4028","1.19","78.4533","262.14","2.8024","2.2196","2.6617","0.3115","0.3115","114224.67","114224.67","56464.9","716188.6809","716188.6809"
"603378.SH","20260309","6.31","1.9076","4.8241","0.87","","","2.7097","1.3176","3.7295","","","42859.6642","42859.6642","16947.4651","270444.4811","270444.4811"
"002919.SZ","20260309","22.78","4.1578","7.0293","1.32","129.9554","","7.39","4.3988","4.1179","0.2192","0.2192","26652.6066","26438.817","15638.6342","607146.3783","602276.2513"
