"ts_code","trade_date","close","turnover_rate","turnover_rate_f","volume_ratio","pe","pe_ttm","pb","ps","ps_ttm","dv_ratio","dv_ttm","total_share","float_share","free_share","total_mv","circ_mv"
"920571.BJ","20260309","11.79","24.3152","31.802","0.79","288.9372","231.0766","4.8422","6.9927","6.5706","0.8482","0.8482","55540.7453","28119.3356","21499.5473","654825.3871","331526.9667"
"002640.SZ","20260309","3.79","3.0745","3.3421","0.8","","","6.9212","1.0325","1.0662","","","155804.133","154826.2005","142425.2005","590497.6641","586791.2999"
"600021.SH","20260309","21.81","2.5413","5.9433","0.88","30.0742","23.3343","2.912","1.4399","1.4539","1.2818","1.2818","282123.4945","282123.4945","120635.4706","6153113.415","6153113.415"
"001226.SZ","20260309","45.3","3.8191","6.2393","1.09","166.9787","157.7178","4.6414","5.6254","5.1733","0.883","0.883","7466.67","3392.67","2076.67","338240.151","153687.951"
"300910.SZ","20260309","52.4","2.1955","3.0912","1.15","21.4634","19.4629","4.233","4.9112","4.5507","2.2469","2.2469","29593.5278","20748.6069","14736.1231","1550700.8567","1087227.0016"
"000978.SZ","20260309","7.07","1.8173","3.5993","0.88","","","2.9877","7.6671","7.7269","","","46813","46811.875","23635.2277","330967.91","330959.9563"
"603683.SH","20260309","25.55","9.4437","14.0925","2.03","110.6906","115.7281","4.6086","3.9364","3.6471","0.3491","0.3491","29041.1661","28730.9757","19253.3817","742001.7939","734076.4291"
"000037.SZ","20260309","10.06","3.3781","5.7205","0.85","276.7739","127.4072","4.1247","13.6889","17.2809","","","60276.2596","33890.815","20013.5196","606379.1716","340941.5989"
"920175.BJ","20260309","11.51","1.9651","2.3585","0.69","","","2.0634","4.5149","5.7784","","","11900","7927.586","6605.257","136969","91246.5149"
"601606.SH","20260309","44.61","2.5634","6.2355","0.49","","","14.5998","22.5896","21.0461","","","72422.84","72422.84","29772.6841","3230782.8924","3230782.8924"
"600084.SH","20260309","7","0.8808","2.016","0.8","648.7485","662.8327","6.0801","48.7265","49.3977","","","112372.683","112372.683","49098.1674","786608.781","786608.781"
"300170.SZ","20260309","26.78","26.8106","27.1801","3.85","145.3101","138.3721","4.9465","8.4618","8.2419","0.1726","0.1726","102222.7211","97710.7409","96382.2553","2737524.4711","2616693.6413"
"002323.SZ","20260309","2.3","8.5862","11.2197","0.69","","","13.9503","14.2242","13.3793","","","212085.5142","212038.1924","162267.8788","487796.6827","487687.8425"
"920405.BJ","20260309","22.16","1.5145","2.8122","1.24","61.504","52.8122","3.8202","6.0729","5.258","0.9703","0.6191","14026","11008.0256","5928.4238","310816.16","243937.8473"
"600409.SH","20260309","8.42","3.0256","5.5531","0.95","34.8316","76.9253","1.2502","0.8137","0.8938","0.867","0.867","206434.9448","206434.9448","112473.3154","1738182.2352","1738182.2352"
"688260.SH","20260309","29.33","4.651","7.69","0.94","","","25.7502","6.2764","6.2492","","","12000","12000","7257.798","351960","351960"
"300761.SZ","20260309","21.48","2.9714","5.6443","1.36","11.8244","27.7849","1.9944","1.0147","0.9703","2.7665","2.7665","83726.9641","62801.613","33061.2485","1798455.1889","1348978.6472"
"300385.SZ","20260309","12.9","7.2478","11.3228","1.28","","","52.1504","7.1602","9.1874","","","33314.5932","29066.2633","18605.4899","429758.2523","374954.7966"
"601609.SH","20260309","10.65","3.0539","6.2644","1.18","39.8448","24.1416","1.852","0.1483","0.1484","0.8683","0.8683","172863.8193","172863.8193","84272.75","1840999.6755","1840999.6755"
"002177.SZ","20260309","8.35","19.238","19.7582","0.87","582.7448","633.1975","3.7292","95.0426","105.8305","0.0838","0.0838","76119.1294","67491.8963","65714.9773","635594.7305","563557.3341"
"605268.SH","20260309","15.33","1.1334","6.3298","0.83","49.2781","38.6077","4.0777","2.1912","2.0355","1.3046","1.3046","44630.25","44049.25","7887.25","684181.7325","675275.0025"
"002486.SZ","20260309","3.1","3.3843","4.3059","0.84","133.6794","47.2426","2.3578","2.161","2.1058","","","82428.31","82046.6875","64485.2894","255527.761","254344.7313"
"300589.SZ","20260309","18.74","14.1897","16.3936","0.67","629.2331","","9.0015","4.0925","7.1034","0.0534","0.0534","37766.7996","23160.6914","20047.0689","707749.8245","434031.3568"
"301331.SZ","20260309","27.85","1.0506","2.9088","0.85","76.4194","55.0428","2.7343","3.5284","3.2246","0.6349","1.8788","10289.1887","10269.5817","3709.1301","286553.9053","286007.8503"
